desc_1,desc_2,desc_3,desc_4,desc_5,desc_6,desc_7,desc_8,desc_9,desc_10,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,black_1,black_2,black_3,black_4,trans_1,trans_2,trans_3,trans_4,fat_1,fat_2,fat_3,fat_4,police_1,police_2,police_3,police_4,lawyers_1,lawyers_2,lawyers_3,lawyers_4,business_1,business_2,business_3,business_4,prostitutes_1,prostitutes_2,prostitutes_3,prostitutes_4,dealers_1,dealers_2,dealers_3,dealers_4,blind_1,blind_2,blind_3,blind_4,deaf_1,deaf_2,deaf_3,deaf_4,therm_1,therm_2,therm_3,therm_4,therm_5,therm_6,therm_7,therm_8,therm_9,therm_10,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,age,gender,race,conservative,democrat
13,51,67,15,100,14,100,100,1,9,32,57,84,22,79,0,89,100,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,100,100,100,100,39,51,0,0,100,100,15,15,15,15,15,15,70,female,Caucasian,2,6
60,75,75,35,65,30,70,90,20,15,30,80,70,20,55,15,40,80,0,0,7,1,3,3,7,1,4,4,7,1,4,4,7,2,5,5,7,2,4,4,7,3,5,5,7,2,3,3,7,3,4,4,7,2,3,4,7,1,5,5,96,95,100,60,38,71,79,38,100,100,19,15,15,15,15,19,37,Female,Caucasian,2,6
31,42,38,49,48,14,58,53,9,9,32,53,42,39,45,39,71,94,8,6,4,3,3,2,3,3,4,4,3,2,2,3,4,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,94,75,86,77,81,80,29,12,93,96,18,19,18,17,18,17,25,male,white,5,3
91,84,54,12,53,43,92,92,19,15,95,80,62,23,9,36,90,79,21,5,6,6,6,6,3,5,5,4,3,4,3,3,1,1,1,1,2,3,3,3,4,3,4,2,4,3,4,4,3,5,5,4,1,1,1,1,1,1,1,1,11,74,92,87,75,64,31,12,100,100,19,20,17,16,17,19,31,Femalr,Hispanic,5,3
69,94,77,40,34,50,58,99,15,5,36,96,76,19,44,50,91,89,25,4,5,4,1,1,3,7,5,6,7,7,5,6,1,1,2,1,4,3,4,1,5,1,3,2,7,7,4,5,7,6,7,7,1,1,1,2,1,2,1,1,17,0,5,100,90,53,0,0,79,73,21,21,21,21,20,21,46,Female,White,5,2
28,36,78,55,85,81,86,79,17,28,0,0,0,0,0,0,15,100,0,0,4,2,2,3,5,2,1,1,6,3,4,3,5,4,3,4,7,7,5,5,6,5,5,6,3,2,2,3,6,5,5,6,4,1,1,1,5,1,1,1,0,0,0,23,85,63,38,65,0,0,20,21,21,21,21,21,27,",=male",white,4,4
14,18,33,49,46,13,38,39,3,2,5,11,11,17,15,12,29,31,1,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,89,93,61,94,85,97,47,43,92,90,20,20,20,20,20,20,45,Female,African American,4,4
70,78,45,40,20,24,81,88,6,7,59,69,37,42,25,14,78,85,6,4,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,5,6,6,6,6,98,100,73,57,51,52,89,42,98,99,16,15,15,15,16,16,22,Female,White,2,7
90,80,95,50,65,20,90,100,1,2,0,0,0,0,0,0,100,100,0,0,5,5,5,5,6,7,7,7,3,5,7,7,5,6,6,6,7,7,7,7,6,6,6,6,6,6,7,7,4,4,4,4,6,7,7,7,4,3,3,3,100,100,92,100,52,86,53,23,100,100,19,18,20,18,18,19,26,male,Caucasian,3,5
49,75,65,40,65,40,76,95,16,22,48,77,77,42,60,56,90,97,13,14,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,4,4,4,4,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,50,68,20,48,55,67,33,13,73,69,19,17,17,17,17,17,34,male,white,2,6
